,Press,Category,Count_News,IsClickbait,forward-referencing,emotional,interrogative,surprise,ellipsis,list,how_to,interjection,spillthebeans,gossip,ending_words,netizen,exaggerated,uncertainty
0,ETToday,entertainment,6062,3234.0,1087.0,1871.0,0.0,217.0,614.0,163.0,2.0,24.0,571.0,482.0,1222.0,612.0,1540.0,48.0
1,ETToday,finance,3687,413.0,174.0,183.0,0.0,25.0,13.0,230.0,4.0,2.0,41.0,21.0,138.0,85.0,456.0,21.0
2,ETToday,global,1300,354.0,139.0,250.0,0.0,36.0,10.0,35.0,1.0,0.0,69.0,44.0,92.0,46.0,245.0,46.0
3,ETToday,health,995,315.0,190.0,99.0,0.0,29.0,28.0,156.0,1.0,1.0,20.0,6.0,142.0,22.0,198.0,40.0
4,ETToday,life,6715,2267.0,1058.0,1319.0,0.0,122.0,204.0,244.0,9.0,12.0,201.0,211.0,875.0,382.0,1744.0,75.0
5,ETToday,politics,5738,1409.0,933.0,989.0,0.0,41.0,29.0,172.0,25.0,11.0,110.0,37.0,305.0,88.0,676.0,109.0
6,ETToday,tech,599,175.0,50.0,30.0,0.0,6.0,0.0,58.0,0.0,0.0,66.0,8.0,46.0,31.0,112.0,13.0
7,NewYorkTimes,finance,64,3.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
8,NewYorkTimes,global,56,2.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
9,NewYorkTimes,health,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NewYorkTimes,life,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,NewYorkTimes,politics,17,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NewYorkTimes,tech,23,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
13,NewsLens,entertainment,269,76.0,37.0,25.0,0.0,5.0,2.0,28.0,14.0,0.0,0.0,3.0,24.0,5.0,48.0,0.0
14,NewsLens,finance,156,54.0,38.0,3.0,0.0,3.0,0.0,18.0,16.0,0.0,0.0,0.0,14.0,1.0,18.0,1.0
15,NewsLens,global,202,28.0,14.0,16.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,13.0,4.0,26.0,4.0
16,NewsLens,health,87,27.0,17.0,9.0,0.0,1.0,0.0,12.0,6.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0
17,NewsLens,life,276,85.0,56.0,11.0,0.0,8.0,1.0,19.0,13.0,0.0,0.0,1.0,23.0,6.0,58.0,0.0
18,NewsLens,politics,357,47.0,18.0,14.0,0.0,7.0,1.0,16.0,8.0,0.0,2.0,0.0,18.0,6.0,38.0,5.0
19,NewsLens,tech,126,21.0,5.0,4.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,11.0,1.0,25.0,1.0
20,Storm Media,entertainment,535,386.0,137.0,210.0,0.0,45.0,153.0,49.0,1.0,2.0,46.0,24.0,130.0,96.0,175.0,18.0
21,Storm Media,finance,777,199.0,121.0,49.0,0.0,18.0,8.0,50.0,29.0,0.0,1.0,0.0,84.0,6.0,131.0,5.0
22,Storm Media,global,1070,224.0,116.0,68.0,0.0,13.0,23.0,43.0,46.0,0.0,4.0,0.0,71.0,10.0,122.0,15.0
