,Date,Press,Category,Count_News,IsClickbait,forward-referencing,emotional,interrogative,surprise,ellipsis,list,how_to,interjection,spillthebeans,gossip,ending_words,netizen,exaggerated,uncertainty
0,2018-01-01,ETToday,entertainment,641,279.0,98.0,165.0,0.0,8.0,39.0,26.0,0.0,5.0,33.0,35.0,97.0,51.0,132.0,4.0
1,2018-01-01,ETToday,finance,122,21.0,5.0,11.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,3.0,4.0,20.0,1.0
2,2018-01-01,ETToday,global,100,24.0,5.0,19.0,0.0,2.0,7.0,5.0,0.0,0.0,2.0,2.0,6.0,2.0,19.0,0.0
3,2018-01-01,ETToday,health,100,40.0,26.0,11.0,0.0,1.0,1.0,31.0,0.0,0.0,0.0,1.0,8.0,1.0,28.0,3.0
4,2018-01-01,ETToday,life,319,136.0,48.0,96.0,0.0,8.0,28.0,11.0,0.0,1.0,10.0,11.0,31.0,57.0,70.0,2.0
5,2018-01-01,ETToday,politics,257,28.0,12.0,43.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,9.0,3.0,20.0,4.0
6,2018-01-01,ETToday,tech,36,7.0,4.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
7,2018-01-01,NewYorkTimes,finance,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2018-01-01,NewYorkTimes,global,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,2018-01-01,NewYorkTimes,life,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2018-01-01,NewYorkTimes,politics,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2018-01-01,NewYorkTimes,tech,7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
12,2018-01-01,NewsLens,finance,45,23.0,13.0,3.0,0.0,1.0,0.0,10.0,12.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0
13,2018-01-01,NewsLens,global,86,22.0,12.0,7.0,0.0,4.0,1.0,5.0,6.0,0.0,0.0,0.0,3.0,2.0,7.0,1.0
14,2018-01-01,NewsLens,health,26,6.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0
15,2018-01-01,NewsLens,life,65,18.0,13.0,7.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0
16,2018-01-01,NewsLens,politics,25,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0
17,2018-01-01,NewsLens,tech,5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18,2018-01-01,Storm Media,health,20,14.0,13.0,1.0,0.0,1.0,2.0,10.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0
19,2018-01-01,Storm Media,life,21,12.0,10.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0
20,2018-01-01,TVBS,health,61,18.0,12.0,7.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0
21,2018-01-01,TVBS,tech,40,7.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0
22,2018-01-01,今日新聞,finance,118,8.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,1.0
23,2018-01-01,今日新聞,politics,138,10.0,4.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,6.0,1.0,4.0,2.0
24,2018-01-01,報導者,health,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2018-01-01,報導者,life,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2018-01-08,ETToday,entertainment,632,299.0,92.0,178.0,0.0,8.0,57.0,26.0,1.0,3.0,39.0,30.0,110.0,60.0,134.0,5.0
27,2018-01-08,ETToday,finance,172,26.0,8.0,15.0,0.0,1.0,3.0,11.0,2.0,0.0,0.0,1.0,5.0,2.0,30.0,2.0
28,2018-01-08,ETToday,global,100,22.0,9.0,19.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,11.0,2.0,17.0,2.0
29,2018-01-08,ETToday,health,100,42.0,24.0,8.0,0.0,4.0,2.0,29.0,0.0,0.0,2.0,2.0,6.0,2.0,23.0,0.0
30,2018-01-08,ETToday,life,325,134.0,57.0,91.0,0.0,3.0,21.0,9.0,0.0,0.0,7.0,11.0,29.0,60.0,78.0,1.0
31,2018-01-08,ETToday,politics,272,45.0,16.0,48.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,14.0,13.0,22.0,3.0
32,2018-01-08,ETToday,tech,71,8.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,7.0,0.0
33,2018-01-08,NewYorkTimes,entertainment,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2018-01-08,NewYorkTimes,finance,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,2018-01-08,NewYorkTimes,global,24,5.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
36,2018-01-08,NewYorkTimes,health,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2018-01-08,NewYorkTimes,life,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2018-01-08,NewYorkTimes,politics,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2018-01-08,NewYorkTimes,tech,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2018-01-08,NewsLens,finance,31,11.0,9.0,0.0,0.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
41,2018-01-08,NewsLens,global,106,25.0,16.0,6.0,0.0,3.0,0.0,8.0,4.0,0.0,0.0,0.0,11.0,2.0,12.0,2.0
42,2018-01-08,NewsLens,health,35,8.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0
43,2018-01-08,NewsLens,life,40,13.0,9.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0
44,2018-01-08,NewsLens,politics,44,12.0,7.0,5.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0
45,2018-01-08,NewsLens,tech,9,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,2018-01-08,Storm Media,health,28,21.0,19.0,4.0,0.0,5.0,6.0,10.0,1.0,1.0,0.0,1.0,2.0,0.0,8.0,0.0
47,2018-01-08,Storm Media,life,19,7.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0
48,2018-01-08,TVBS,health,62,16.0,12.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,4.0
